species,decimalLongitude,decimalLatitude
Gentianella campestris,9.115021,62.124006
Gentianella campestris,11.816175,62.937829
Gentianella campestris,20.972984,69.416481
Gentianella campestris,9.597263,62.275367
Gentianella campestris,11.241428,63.15465
Gentianella campestris,8.228951,62.227752
Gentianella campestris,9.703916,62.78464
Gentianella campestris,8.553134,62.527267
Gentianella campestris,9.82598,62.184428
Gentianella campestris,9.018521,63.656975
Gentianella campestris,10.628351,62.130554
Gentianella campestris,8.231233,62.137997
Gentianella campestris,9.845437,62.193287
Gentianella campestris,10.669365,62.149899
Gentianella campestris,11.105475,64.826587
Gentianella campestris,10.999491,62.208382
Gentianella campestris,9.81461,63.678984
Gentianella campestris,11.149503,64.827842
Gentianella campestris,10.271313,64.118086
Gentianella campestris,10.983033,61.957192
Gentianella campestris,11.7,59.3
Gentianella campestris,11.7,60
Gentianella campestris,17.43328,62.93001
Gentianella campestris,18.46027,63.16201
Gentianella campestris,15.48464,57.76542
Gentianella campestris,15.37714,56.38477
Gentianella campestris,15.65606,58.87928
Gentianella campestris,17.53637,62.87166
Gentianella campestris,15.71889,56.30825
Gentianella campestris,18.32172,63.04714
Gentianella campestris,18.23655,63.31524
Gentianella campestris,14.88772,62.98572
Gentianella campestris,9.550915,62.985731
Gentianella campestris,13.124817,68.07167
Gentianella campestris,9.738825,60.988147
Gentianella campestris,15.478224,67.194344
Gentianella campestris,9.894036,62.365027
Gentianella campestris,9.003374,61.00617
Gentianella campestris,15.345875,67.380227
Gentianella campestris,14.507801,67.012423
Gentianella campestris,11.813681,62.828973
Gentianella campestris,12.168175,65.914443
Gentianella campestris,9.594133,62.4417
Gentianella campestris,10.093102,61.119917
Gentianella campestris,8.732685,61.484027
Gentianella campestris,14.01052,67.164775
Gentianella campestris,9.624451,59.534009
Gentianella campestris,9.0785,61.678202
Gentianella campestris,9.604751,62.301187
Gentianella campestris,15.28947,67.234044
Gentianella campestris,14.542835,67.162784
Gentianella campestris,14.871915,67.910846
Gentianella campestris,9.015007,61.804154
Gentianella campestris,5.739803,58.53815
Gentianella campestris,15.708992,68.170833
Gentianella campestris,9.209025,61.64629
Gentianella campestris,14.571366,67.051182
Gentianella campestris,19.249046,69.704463
Gentianella campestris,9.61245,60.889033
Gentianella campestris,9.81201,62.177743
Gentianella campestris,11.724021,59.314247
Gentianella campestris,8.988498,61.869609
Gentianella campestris,8.966435,61.713508
Gentianella campestris,9.578646,61.52789
Gentianella campestris,8.442655,61.798555
Gentianella campestris,19.213446,69.744097
Gentianella campestris,15.085471,67.010876
Gentianella campestris,13.537917,66.902837
Gentianella campestris,14.338495,66.825737
Gentianella campestris,9.732105,61.377402
Gentianella campestris,8.413684,59.611973
Gentianella campestris,18.815735,69.600902
Gentianella campestris,10.198726,62.170035
Gentianella campestris,9.069679,61.701195
Gentianella campestris,14.331848,66.835411
Gentianella campestris,8.822831,61.555427
Gentianella campestris,9.610914,60.994916
Gentianella campestris,9.591474,62.309078
Gentianella campestris,14.296814,67.28569
Gentianella campestris,8.683592,60.958934
Gentianella campestris,10.351583,61.105448
Gentianella campestris,9.712827,61.410279
Gentianella campestris,9.715801,59.5706
Gentianella campestris,14.865187,67.21994
Gentianella campestris,9.053536,61.55191
Gentianella campestris,14.151816,66.879363
Gentianella campestris,12.340633,66.371036
Gentianella campestris,9.0444,61.879836
Gentianella campestris,9.647655,61.538081
Gentianella campestris,9.647816,61.018673
Gentianella campestris,16.381785,68.103176
Gentianella campestris,9.56951,62.487357
Gentianella campestris,6.099255,60.398789
Gentianella campestris,6.080517,60.538269
Gentianella campestris,9.651571,61.064733
Gentianella campestris,12.333842,66.362152
Gentianella campestris,10.2653,61.408422
Gentianella campestris,9.042091,61.721042
Gentianella campestris,10.507872,60.97231
Gentianella campestris,5.575115,58.645275
Gentianella campestris,5.802326,58.513409
Gentianella campestris,8.955584,61.617625
Gentianella campestris,15.475134,67.415639
Gentianella campestris,7.162007,59.861443
Gentianella campestris,14.040012,66.773758
Gentianella campestris,8.906661,61.550562
Gentianella campestris,11.12515,63.357305
Gentianella campestris,9.165098,61.725702
Gentianella campestris,10.907704,59.979931
Gentianella campestris,8.927394,61.578109
Gentianella campestris,9.106132,62.052108
Gentianella campestris,9.495399,61.437362
Gentianella campestris,9.99215,61.634377
Gentianella campestris,14.349518,67.259
Gentianella campestris,6.776432,60.289229
Gentianella campestris,8.451009,61.787091
Gentianella campestris,9.020684,61.655965
Gentianella campestris,14.829011,67.018478
Gentianella campestris,14.641596,67.198021
Gentianella campestris,14.413307,67.266958
Gentianella campestris,9.059671,61.708825
Gentianella campestris,14.423305,67.091982
Gentianella campestris,9.800422,61.126038
Gentianella campestris,9.63383,62.417502
Gentianella campestris,12.881051,66.401223
Gentianella campestris,10.097908,61.098681
Gentianella campestris,10.046453,59.720824
Gentianella campestris,13.919225,67.014272
Gentianella campestris,15.82359,68.159513
Gentianella campestris,9.529957,59.312858
Gentianella campestris,15.382077,67.174646
Gentianella campestris,13.958894,66.735833
Gentianella campestris,10.354251,62.719369
Gentianella campestris,10.205131,59.709734
Gentianella campestris,14.134802,66.789245
Gentianella campestris,10.284623,61.126112
Gentianella campestris,8.955997,61.824525
Gentianella campestris,9.77058,59.62493
Gentianella campestris,9.852048,61.009444
Gentianella campestris,13.649982,66.735152
Gentianella campestris,13.969584,66.987421
Gentianella campestris,15.976403,68.264737
Gentianella campestris,7.215951,59.983804
Gentianella campestris,11.177054,61.016257
Gentianella campestris,10.758835,62.696521
Gentianella campestris,9.718379,61.448223
Gentianella campestris,15.145991,67.039849
Gentianella campestris,8.8792,61.813367
Gentianella campestris,9.553305,63.592099
Gentianella campestris,10.365202,61.206506
Gentianella campestris,16.38828,68.072971
Gentianella campestris,9.470767,61.890906
Gentianella campestris,8.938021,62.162465
Gentianella campestris,7.220856,59.992854
Gentianella campestris,16.121382,68.193629
Gentianella campestris,9.648778,62.301455
Gentianella campestris,10.106963,61.090465
Gentianella campestris,14.104376,66.750497
Gentianella campestris,16.388307,68.113338
Gentianella campestris,13.987317,66.977263
Gentianella campestris,15.202261,67.74053
Gentianella campestris,9.612998,60.899455
Gentianella campestris,8.988444,61.655231
Gentianella campestris,9.028078,61.739988
